iter	MultiClass
121	0.1553751846
122	0.1550611154
123	0.1543514848
124	0.1535015663
125	0.1525242269
126	0.1520211574
127	0.1515770079
128	0.1504601026
129	0.1501348915
130	0.1498207235
131	0.1489860904
132	0.1485045475
133	0.1479218942
134	0.1469141563
135	0.1462160825
136	0.1457031881
137	0.1453108081
138	0.1450658476
139	0.1441411567
140	0.1439420936
141	0.1433054781
142	0.1429197017
143	0.1422228662
144	0.1414339074
145	0.1409262677
146	0.140378963
147	0.1397240767
148	0.1390761436
149	0.1381892905
150	0.1372719566
151	0.1366861208
152	0.1359289693
153	0.1352794226
154	0.1347738308
155	0.1344844028
156	0.1342058168
157	0.1335110149
158	0.1330214073
159	0.1317572687
160	0.1312574322
161	0.130957899
162	0.1306578743
163	0.1300676802
164	0.1295105386
165	0.1288476014
166	0.1283359043
167	0.1275244874
168	0.1267673388
169	0.1263022837
170	0.1259963055
171	0.1254014506
172	0.1249891416
173	0.1246735142
174	0.1242581562
175	0.1240882819
176	0.1236554195
177	0.1230259362
178	0.1224510353
179	0.122115514
180	0.1218725705
181	0.1214304683
182	0.1204900056
183	0.1200004936
184	0.1194029532
185	0.119141731
186	0.1190188203
187	0.1187914674
188	0.1186260535
189	0.1183190651
190	0.1175502511
191	0.1171942139
192	0.1168611068
193	0.1161623312
194	0.1158525203
195	0.1153005042
196	0.1149848819
197	0.1146815352
198	0.1145042854
199	0.1142741345
200	0.1135212293
201	0.1132720928
202	0.1128683232
203	0.1127131825
204	0.112234113
205	0.1115110767
206	0.1111586599
207	0.1106835041
208	0.1101291339
209	0.1091626882
210	0.1087226639
211	0.1086091968
212	0.1082073129
213	0.1080069432
214	0.1077763064
215	0.1072001152
216	0.106514707
217	0.1064290751
218	0.1062793768
219	0.1059731729
220	0.1053461877
221	0.1049851667
222	0.1046338061
223	0.1042438449
224	0.1038523024
225	0.1030286458
226	0.102646623
227	0.1024243859
228	0.1019587949
229	0.1016773036
230	0.1014062715
231	0.1009729536
232	0.1008121986
233	0.1002713655
234	0.1000314546
235	0.09956635807
236	0.09924409083
237	0.09880575295
238	0.09836937088
239	0.09815558199
240	0.09794542048
241	0.09743575314
242	0.09725252272
243	0.0968933747
244	0.09658677258
245	0.0960476751
246	0.09586091356
247	0.09561860873
248	0.09537382542
249	0.09454065705
250	0.09429897173
251	0.09397491948
252	0.09371541535
253	0.09342328508
254	0.09320132152
255	0.09295882653
256	0.09272303199
257	0.09202543355
258	0.0917534513
259	0.09141439726
260	0.09113252048
261	0.09095270103
262	0.09076293297
263	0.09052933471
264	0.09031655287
265	0.09014828322
266	0.08990034981
267	0.08963599595
268	0.08935598235
269	0.08874555479
270	0.08860833589
271	0.08839551821
272	0.08821111302
273	0.08795056894
274	0.08782328715
275	0.08774801744
276	0.08699160808
277	0.08643810333
278	0.08608238277
279	0.08540380417
280	0.08526766135
281	0.08493022045
282	0.08478074995
283	0.08457826937
284	0.08416477621
285	0.0839665015
286	0.08369174632
287	0.0833579278
288	0.08304833498
289	0.082732008
290	0.08218777725
291	0.08204154476
292	0.08172149652
293	0.08133670211
294	0.08118946502
295	0.08105867791
296	0.0808715148
297	0.08076834847
298	0.08047727272
299	0.08023767539
300	0.08004438574
301	0.07985308585
302	0.07975832202
303	0.07958643268
304	0.07940363453
305	0.07914803564
306	0.07868619034
307	0.07847123965
308	0.07828943291
309	0.07810854036
310	0.07795082096
311	0.07779566078
312	0.07756380074
313	0.0774128291
314	0.07706516876
315	0.07658628522
316	0.07643155223
317	0.07623296406
318	0.07584888701
319	0.07573226833
320	0.07552548899
321	0.07541823756
322	0.07520174583
323	0.07500223084
324	0.07489473758
325	0.07476812931
326	0.07459118303
327	0.07435166068
328	0.0740290498
329	0.07370542185
330	0.07330402615
331	0.07324825633
332	0.07307664037
333	0.07258394261
334	0.0723062042
335	0.07203547646
336	0.07184139967
337	0.07164129618
338	0.0714082501
339	0.07120420037
340	0.07096927109
341	0.07089043884
342	0.07068251518
343	0.07050893597
344	0.07037484097
345	0.07021572526
346	0.06987992794
347	0.0696829088
348	0.06921670636
349	0.06913226895
350	0.06897150451
351	0.06882430718
352	0.06849994032
353	0.06820863029
354	0.06804135238
355	0.06783671493
356	0.06760238944
357	0.06742011799
358	0.06728730362
359	0.06716645754
360	0.06708999961
361	0.06678307396
362	0.06668065761
363	0.06649409377
364	0.06629930701
365	0.06610815203
366	0.06594614783
367	0.0657464499
368	0.06561197143
369	0.0653919803
370	0.06529451433
371	0.06518786119
372	0.06493517778
373	0.0646003038
374	0.06444797006
375	0.06424877219
376	0.06404586931
377	0.06376966245
378	0.06367521498
379	0.06340702195
380	0.06317695466
381	0.06303780492
382	0.06281217347
383	0.06256438522
384	0.06238177159
385	0.06217874878
386	0.06195708291
387	0.06180597725
388	0.06168112417
389	0.06145251906
390	0.06131626456
391	0.06099554616
392	0.06083736335
393	0.06068409508
394	0.06051015112
395	0.06035675571
396	0.06027102251
397	0.06013332949
398	0.05996485633
399	0.05962776339
400	0.05938562874
401	0.05918149847
402	0.05910486291
403	0.05882475543
404	0.05863135531
405	0.0584853281
406	0.05814492131
407	0.0580126397
408	0.0578601339
409	0.05781146637
410	0.05772028297
411	0.05765356915
412	0.05753392675
413	0.05744813307
414	0.05721337258
415	0.05715747324
416	0.05704431945
417	0.05682203188
418	0.05667250917
419	0.0565125928
420	0.05633847276
421	0.05605422293
422	0.05591725688
423	0.05572890601
424	0.05563946691
425	0.05548238034
426	0.05531219576
427	0.05510967525
428	0.05490585738
429	0.05468145917
430	0.05454194863
431	0.05444175642
432	0.05431875655
433	0.05423279948
434	0.05405289433
435	0.05382121149
436	0.05375852666
437	0.05367607856
438	0.05357796537
439	0.05345885217
440	0.05329130278
441	0.05321517904
442	0.0530809879
443	0.05291505875
444	0.05283950294
445	0.05273099146
446	0.05254869661
447	0.05234650708
448	0.05215515061
449	0.05202628338
450	0.05188188789
451	0.05167435108
452	0.05155090435
453	0.05124035617
454	0.05113597708
455	0.05096864314
456	0.0508953876
457	0.05074905175
458	0.05063038637
459	0.05052532923
460	0.05034683015
461	0.05023771037
462	0.05013200884
463	0.05000538236
464	0.0499416326
465	0.0498002823
466	0.04974283111
467	0.0495498152
468	0.04935738989
469	0.04920054277
470	0.04903995925
471	0.04891537909
472	0.04881832155
473	0.04868330047
474	0.04855244931
475	0.04848754636
476	0.04838458873
477	0.0482080381
478	0.0481230787
479	0.04803783623
480	0.04796247998
481	0.04789152302
482	0.04777130225
483	0.04772192244
484	0.04753899866
485	0.04726504247
486	0.047162374
487	0.04705652533
488	0.0469376429
489	0.04680394023
490	0.04670762667
491	0.04665043178
492	0.04650430293
493	0.04643716297
494	0.04633737418
495	0.04629229327
496	0.04616853273
497	0.04609627008
498	0.04603023737
499	0.04591344279
500	0.04582742527
501	0.04578519172
502	0.04572352411
503	0.04558636051
504	0.04545093798
505	0.04536942522
506	0.04525450755
507	0.04517840137
508	0.04508111118
509	0.04500877248
510	0.04496629112
511	0.04483488296
512	0.04480581728
513	0.04469770745
514	0.04462013339
515	0.04449507821
516	0.04435072039
517	0.04423368078
518	0.04420162933
519	0.04413264382
520	0.04402374286
521	0.04398843847
522	0.04391475628
523	0.04381027109
524	0.04369890206
