iter	RMSE
272	45830.78264
273	45812.12944
274	45781.81692
275	45750.04449
276	45722.49591
277	45687.21625
278	45657.19571
279	45638.84071
280	45621.36332
281	45591.4601
282	45561.41184
283	45533.54144
284	45514.59643
285	45486.96818
286	45452.9663
287	45425.38928
288	45397.0168
289	45375.18933
290	45347.27435
291	45324.12626
292	45268.92748
293	45250.64095
294	45229.6366
295	45210.15944
296	45184.08308
297	45167.10515
298	45138.54004
299	45103.7223
300	45083.19194
301	45063.81846
302	45048.57117
303	45012.11363
304	44993.5192
305	44979.08484
306	44953.78367
307	44936.4684
308	44919.13126
309	44888.95914
310	44874.46228
311	44852.23527
312	44831.76386
313	44814.63198
314	44788.47119
315	44769.3234
316	44746.55903
317	44745.16409
318	44725.32064
319	44708.08108
320	44692.21562
321	44666.65317
322	44647.43058
323	44624.86375
324	44610.43697
325	44585.03994
326	44571.6937
327	44542.74866
328	44521.66576
329	44504.13993
330	44499.27511
331	44473.7317
332	44446.1275
333	44417.70134
334	44386.22077
335	44351.3312
336	44342.61463
337	44341.48117
338	44318.4666
339	44289.40138
340	44261.63456
341	44240.57999
342	44230.13831
343	44218.59805
344	44213.3416
345	44188.51892
346	44166.54993
347	44149.41464
348	44144.58883
349	44105.94595
350	44101.6459
351	44089.47073
352	44054.66099
353	44025.65655
354	43996.45115
355	43982.64683
356	43962.10993
357	43957.66253
358	43941.36344
359	43912.21329
360	43902.10031
361	43883.23002
362	43873.86951
363	43849.76927
364	43840.01958
365	43833.35572
366	43802.21526
367	43795.28141
368	43777.49976
369	43768.51767
370	43754.73871
371	43733.03435
372	43707.50205
373	43688.82404
374	43658.55957
375	43639.18105
376	43633.08624
377	43609.949
378	43587.7489
379	43576.39258
380	43548.88239
381	43519.43285
382	43495.73622
383	43483.00762
384	43469.26064
385	43446.8467
386	43434.90917
387	43406.66072
388	43388.92207
389	43368.4464
390	43349.99367
391	43321.20887
392	43297.52336
393	43292.25884
394	43276.1993
395	43270.80808
396	43256.51248
397	43239.21152
398	43230.18745
399	43211.8625
400	43196.66926
401	43184.47981
402	43161.96344
403	43147.62956
404	43143.62641
405	43129.23429
406	43114.23348
407	43078.82097
408	43054.41588
409	43047.16073
410	43022.59846
411	42990.97135
412	42986.9414
413	42970.21111
414	42946.5634
415	42930.53717
416	42910.44912
417	42895.91115
418	42879.28191
419	42878.17156
420	42867.77531
421	42857.14433
422	42829.28683
423	42801.1489
424	42793.24269
425	42774.96677
426	42758.28905
427	42736.71152
428	42723.5507
429	42707.66713
430	42689.78265
431	42688.16678
432	42679.36347
433	42661.77319
434	42647.12297
435	42629.50628
436	42617.79
437	42605.74474
438	42588.28338
439	42571.74457
440	42551.69446
441	42535.13889
442	42509.43562
443	42492.70255
444	42474.09044
445	42462.03841
446	42448.41179
447	42426.54954
448	42411.08636
449	42396.34328
450	42378.62499
451	42362.256
452	42357.77413
453	42332.24403
454	42319.41454
455	42316.79254
456	42308.59096
457	42292.94576
458	42275.80677
459	42261.25944
460	42254.31742
461	42231.59746
462	42222.24971
463	42192.38784
464	42169.14221
465	42164.87751
466	42153.00252
467	42139.70124
468	42134.0341
469	42123.20984
470	42106.43663
471	42099.4916
472	42082.03343
473	42072.41952
474	42057.40261
475	42045.50041
476	42040.99888
477	42023.58644
478	41997.45591
479	41989.20866
480	41982.01033
481	41972.73077
482	41956.90427
483	41933.26249
484	41916.89227
485	41904.12163
486	41886.84364
487	41885.26857
488	41867.12432
489	41849.98661
490	41845.04977
491	41827.75521
492	41820.72376
493	41808.27021
494	41792.75435
495	41777.05148
496	41761.78127
497	41747.66963
498	41746.99359
499	41735.28662
500	41724.09654
501	41708.81368
502	41692.30392
503	41675.57492
504	41673.25503
505	41658.75184
506	41649.08444
507	41635.42412
508	41622.0958
509	41618.31342
510	41606.33976
511	41593.52607
512	41580.96805
513	41560.72524
514	41545.03621
515	41524.04798
516	41511.86019
517	41497.54731
518	41483.20991
519	41472.00715
520	41451.02835
521	41447.79932
522	41433.27
523	41413.39497
524	41391.62215
525	41378.03584
526	41364.0315
527	41349.133
528	41326.73636
529	41314.43404
530	41297.67764
531	41285.39132
532	41272.38936
533	41263.34311
534	41252.1751
535	41240.14109
536	41219.1259
537	41200.90992
538	41191.64277
539	41176.26911
540	41171.46286
541	41156.85099
542	41144.32334
543	41143.17343
544	41134.67702
545	41120.83836
546	41105.23423
547	41095.28488
548	41082.35633
549	41065.08563
550	41047.7023
551	41034.74436
552	41024.03244
553	41013.80735
554	40998.49818
555	40987.72126
556	40975.22077
557	40966.02741
558	40957.89028
559	40944.42306
560	40928.87745
561	40921.78565
562	40903.47083
563	40895.36083
564	40881.96345
565	40874.26152
566	40854.89456
567	40838.016
568	40824.07208
569	40808.63318
570	40799.70494
571	40794.03939
572	40784.44142
573	40776.42078
574	40757.26906
575	40744.95864
576	40731.75566
577	40721.83962
578	40706.90273
579	40689.9117
580	40674.51047
581	40661.9162
582	40645.98283
583	40636.12531
584	40626.404
585	40614.85415
586	40596.58334
587	40587.06033
588	40579.74517
589	40563.52015
590	40551.51086
591	40540.2649
592	40525.55402
593	40509.58061
594	40499.13379
595	40486.37368
596	40478.08109
597	40467.39255
598	40449.25293
599	40439.799
600	40422.02684
601	40411.36833
602	40399.58726
603	40394.38227
604	40379.9282
605	40362.90344
606	40351.0089
607	40336.6441
608	40324.26862
609	40319.45393
610	40304.80892
611	40281.53337
612	40270.09142
613	40259.9404
614	40242.52765
615	40229.82784
616	40212.16101
617	40204.69051
618	40190.29979
619	40176.75736
620	40170.84133
621	40163.89325
622	40153.64935
623	40141.81231
624	40122.2822
625	40111.49884
626	40108.50641
627	40099.19433
628	40095.14725
629	40084.2419
630	40069.74425
631	40058.75004
632	40051.28398
633	40039.51041
634	40024.88626
635	40016.37274
636	40008.38095
637	40001.75346
638	39991.20477
639	39981.94162
640	39971.27587
641	39957.58917
642	39945.26896
643	39941.98899
644	39935.82154
645	39930.48306
646	39925.12889
647	39916.18154
648	39900.62233
649	39891.16601
650	39878.85194
651	39870.76433
652	39860.77542
653	39851.72686
654	39841.05528
655	39824.01424
656	39823.06434
657	39815.12161
658	39800.06512
659	39785.33354
660	39776.58979
661	39760.75644
662	39757.96622
663	39733.91971
664	39726.49247
665	39716.12241
666	39707.86709
667	39694.89432
668	39682.662
669	39667.76143
670	39654.99881
671	39641.82552
672	39631.70479
673	39622.47066
674	39614.31033
675	39601.2081
676	39591.16182
677	39579.41047
678	39568.95201
679	39558.47085
680	39547.34556
681	39540.82375
682	39527.19598
683	39520.40965
684	39506.12413
685	39496.42049
686	39491.5318
687	39482.29388
688	39471.74498
689	39461.69858
690	39454.30506
691	39441.03598
692	39430.56904
693	39422.77884
694	39414.88571
695	39407.78383
696	39394.65205
697	39385.59151
698	39380.94921
699	39374.39748
700	39371.37552
701	39355.37391
702	39346.75147
703	39341.21604
704	39333.47806
705	39326.37423
706	39311.04851
707	39302.5684
708	39295.95259
709	39285.23695
710	39273.51603
711	39266.36278
712	39253.25384
713	39243.5962
714	39233.94154
715	39221.13445
716	39214.77279
717	39198.85835
718	39187.05187
719	39173.06549
720	39165.10407
721	39155.64314
722	39144.86191
723	39138.46483
724	39125.42915
725	39119.59542
726	39100.42444
727	39095.97679
728	39082.98738
729	39074.65753
730	39070.40391
731	39062.4065
732	39054.29168
733	39044.40077
734	39027.48789
735	39014.18149
736	38991.77322
737	38974.09518
738	38967.86614
739	38958.09333
740	38955.39354
741	38936.3383
742	38924.82519
743	38910.85792
744	38894.15538
745	38885.83387
746	38868.29173
747	38859.48461
748	38848.93324
749	38841.72614
750	38830.92177
751	38819.87241
752	38800.73883
753	38792.50314
754	38785.78184
755	38780.22326
756	38770.52175
757	38764.46274
758	38749.47535
759	38742.72436
760	38736.46389
761	38729.71372
762	38722.71936
763	38711.85026
764	38702.25375
765	38690.97321
766	38682.64561
767	38671.75982
768	38657.9765
769	38646.22755
770	38640.6878
771	38634.01493
772	38623.14179
773	38610.0052
774	38595.5353
775	38578.55268
776	38559.46721
777	38546.97147
778	38533.9843
779	38521.75766
780	38511.95261
781	38500.88704
782	38493.05843
783	38486.44242
784	38472.89886
785	38465.99251
786	38460.6849
787	38448.09624
788	38435.76659
789	38424.11986
790	38416.2856
791	38407.01949
792	38383.11614
793	38367.47612
794	38361.19571
795	38351.35299
796	38329.40611
797	38323.1323
798	38313.14356
799	38305.15749
800	38287.78685
801	38275.4172
802	38263.82029
803	38250.41152
804	38245.87437
805	38238.16066
806	38223.85438
807	38207.3246
808	38193.48482
809	38183.7244
810	38172.1096
811	38159.49381
812	38152.42425
813	38137.49215
814	38128.7439
815	38114.70229
816	38103.71075
817	38100.57852
818	38089.69664
819	38075.03851
820	38072.46142
821	38062.51602
822	38049.72586
823	38043.79085
824	38032.87151
825	38024.35652
826	38013.95596
827	38002.19676
828	37994.89101
829	37982.26017
830	37971.25872
831	37957.14918
832	37951.30776
833	37945.55498
834	37932.05113
835	37927.84958
836	37915.93432
837	37909.78494
838	37904.08689
839	37889.649
840	37876.98774
841	37868.07656
842	37852.43483
843	37836.25458
844	37829.04027
845	37817.14339
846	37808.51987
847	37805.56134
848	37795.19451
849	37782.75289
850	37777.47044
851	37770.73606
852	37760.45316
853	37750.45449
854	37737.84161
855	37730.69035
856	37724.87956
857	37718.32627
858	37711.79573
859	37699.90609
860	37690.51058
861	37684.34569
862	37674.47969
863	37660.22259
864	37654.44033
865	37645.27007
866	37635.0342
867	37628.36264
868	37621.49636
869	37617.71614
870	37608.09238
871	37596.25213
872	37588.26523
873	37581.19184
874	37572.07296
875	37558.17346
876	37551.89245
877	37544.65315
878	37535.13696
879	37526.38247
880	37516.16822
881	37511.91945
882	37504.35019
883	37496.09351
884	37484.49531
885	37478.13664
886	37469.33558
887	37457.2832
888	37452.59612
889	37446.60469
890	37439.73096
891	37431.0739
892	37430.34524
893	37429.44825
894	37415.79584
895	37405.23286
896	37391.06149
897	37377.35977
898	37371.04298
899	37362.39441
900	37355.75693
901	37340.62572
902	37334.16934
903	37321.46389
904	37308.75088
905	37298.98613
906	37291.69611
907	37282.63318
908	37276.19181
909	37263.41722
910	37256.59127
911	37247.78382
912	37242.04878
913	37232.09552
914	37220.89871
915	37212.26276
916	37203.27909
917	37194.73202
918	37184.18712
919	37173.0189
920	37166.45216
921	37154.9124
922	37140.78318
923	37136.00249
924	37130.5118
925	37124.61527
926	37120.6597
927	37111.5339
928	37101.67334
929	37092.9226
930	37082.33257
931	37075.3014
932	37070.69161
933	37063.93874
934	37059.01481
935	37050.18545
936	37045.724
937	37033.31044
938	37028.80748
939	37023.21712
940	37012.69978
941	37003.87409
942	36997.62764
943	36987.35474
944	36981.693
945	36971.86543
946	36960.09525
947	36955.25921
948	36946.88363
949	36937.26187
950	36928.10332
951	36916.00733
952	36906.62378
953	36898.25279
954	36888.834
955	36882.34096
956	36876.34381
957	36865.21647
958	36853.04806
959	36842.56998
960	36835.50321
961	36829.42401
962	36822.89666
963	36814.04142
964	36808.15664
965	36800.43489
966	36794.12835
967	36768.52276
968	36763.2918
969	36760.87827
970	36755.91268
971	36745.22805
972	36740.40977
973	36734.23068
974	36729.6021
975	36720.29717
976	36711.85782
977	36704.05631
978	36699.94767
979	36691.11895
980	36673.87505
981	36664.84373
982	36651.44194
983	36644.38763
984	36633.52663
985	36624.44263
986	36614.20088
987	36606.81453
988	36597.87178
989	36587.81532
990	36585.96125
991	36577.80479
992	36571.57395
993	36564.30241
994	36553.45696
995	36530.34153
996	36524.43905
997	36517.67325
998	36512.09726
999	36503.34114
